Time: 0.0, Angular acceleration X: 0.0552796, Angular acceleration y: 1.51552,
Time: 0.074, Angular acceleration X: 0.0211236, Angular acceleration y: 1.54967,
Time: 0.145, Angular acceleration X: 0.0426099, Angular acceleration y: 1.52819,
Time: 0.214, Angular acceleration X: 0.0339492, Angular acceleration y: 1.53685,
Time: 0.281, Angular acceleration X: 0.0499584, Angular acceleration y: 1.52084,
Time: 0.351, Angular acceleration X: 0.0537942, Angular acceleration y: 1.517,
Time: 0.418, Angular acceleration X: 0.0495777, Angular acceleration y: 1.52122,
Time: 0.486, Angular acceleration X: 0.0692767, Angular acceleration y: 1.50152,
Time: 0.557, Angular acceleration X: -0.0519014, Angular acceleration y: 1.6227,
Time: 0.627, Angular acceleration X: -0.791112, Angular acceleration y: 2.36191,
Time: 0.696, Angular acceleration X: -1.31419, Angular acceleration y: 2.88499,
Time: 0.766, Angular acceleration X: -1.68984, Angular acceleration y: -3.02255,
Time: 0.836, Angular acceleration X: -1.76935, Angular acceleration y: -2.94304,
Time: 0.904, Angular acceleration X: -1.73307, Angular acceleration y: -2.97931,
Time: 0.975, Angular acceleration X: -1.93372, Angular acceleration y: -2.77867,
Time: 1.048, Angular acceleration X: -2.15112, Angular acceleration y: -2.56127,
Time: 1.12, Angular acceleration X: -1.96584, Angular acceleration y: -2.74655,
Time: 1.19, Angular acceleration X: -1.88473, Angular acceleration y: -2.82765,
Time: 1.259, Angular acceleration X: -1.77278, Angular acceleration y: -2.93961,
Time: 1.328, Angular acceleration X: -1.67699, Angular acceleration y: -3.03539,
Time: 1.397, Angular acceleration X: -1.22245, Angular acceleration y: 2.79324,
Time: 1.472, Angular acceleration X: -1.51325, Angular acceleration y: 3.08404,
Time: 1.542, Angular acceleration X: -1.59693, Angular acceleration y: -3.11545,
Time: 1.609, Angular acceleration X: -1.6141, Angular acceleration y: -3.09829,
Time: 1.679, Angular acceleration X: -1.68376, Angular acceleration y: -3.02863,
Time: 1.748, Angular acceleration X: -1.67946, Angular acceleration y: -3.03293,
Time: 1.818, Angular acceleration X: -1.8899, Angular acceleration y: -2.82249,
Time: 1.888, Angular acceleration X: -1.87224, Angular acceleration y: -2.84014,
Time: 1.958, Angular acceleration X: -1.88626, Angular acceleration y: -2.82613,
Time: 2.028, Angular acceleration X: -1.85246, Angular acceleration y: -2.85992,
Time: 2.099, Angular acceleration X: -1.80667, Angular acceleration y: -2.90572,
Time: 2.165, Angular acceleration X: -1.56678, Angular acceleration y: 3.13758,
Time: 2.237, Angular acceleration X: -1.64093, Angular acceleration y: -3.07146,
Time: 2.307, Angular acceleration X: -1.69978, Angular acceleration y: -3.01261,
Time: 2.376, Angular acceleration X: -1.62275, Angular acceleration y: -3.08964,
Time: 2.446, Angular acceleration X: -1.63792, Angular acceleration y: -3.07447,
Time: 2.516, Angular acceleration X: -1.69255, Angular acceleration y: -3.01983,
Time: 2.585, Angular acceleration X: -1.75465, Angular acceleration y: -2.95774,
Time: 2.655, Angular acceleration X: -1.68715, Angular acceleration y: -3.02524,
Time: 2.725, Angular acceleration X: -1.59611, Angular acceleration y: -3.11628,
