Time: 0.0, Angular acceleration X: 0.0382954, Angular acceleration y: 1.5325,
Time: 0.069, Angular acceleration X: 0.0421207, Angular acceleration y: 1.52868,
Time: 0.139, Angular acceleration X: 0.033321, Angular acceleration y: 1.53748,
Time: 0.206, Angular acceleration X: 0.0561658, Angular acceleration y: 1.51463,
Time: 0.276, Angular acceleration X: 0.0422825, Angular acceleration y: 1.52851,
Time: 0.345, Angular acceleration X: 0.0457695, Angular acceleration y: 1.52503,
Time: 0.415, Angular acceleration X: 0.0461211, Angular acceleration y: 1.52467,
Time: 0.485, Angular acceleration X: 0.0454233, Angular acceleration y: 1.52537,
Time: 0.555, Angular acceleration X: 0.239966, Angular acceleration y: 1.33083,
Time: 0.624, Angular acceleration X: -1.31712, Angular acceleration y: 2.88792,
Time: 0.694, Angular acceleration X: -1.47722, Angular acceleration y: 3.04802,
Time: 0.768, Angular acceleration X: -1.58844, Angular acceleration y: -3.12395,
Time: 0.839, Angular acceleration X: -1.66852, Angular acceleration y: -3.04387,
Time: 0.909, Angular acceleration X: -1.56295, Angular acceleration y: 3.13375,
Time: 0.979, Angular acceleration X: -1.5635, Angular acceleration y: 3.13429,
Time: 1.048, Angular acceleration X: -0.966718, Angular acceleration y: 2.53751,
Time: 1.118, Angular acceleration X: -1.59936, Angular acceleration y: -3.11303,
Time: 1.188, Angular acceleration X: -1.61664, Angular acceleration y: -3.09575,
Time: 1.258, Angular acceleration X: -1.65846, Angular acceleration y: -3.05393,
Time: 1.328, Angular acceleration X: -1.68597, Angular acceleration y: -3.02642,
Time: 1.394, Angular acceleration X: -1.66852, Angular acceleration y: -3.04387,
Time: 1.464, Angular acceleration X: -1.68567, Angular acceleration y: -3.02672,
Time: 1.532, Angular acceleration X: -1.70335, Angular acceleration y: -3.00904,
Time: 1.601, Angular acceleration X: -1.31855, Angular acceleration y: 2.88935,
Time: 1.67, Angular acceleration X: -1.43393, Angular acceleration y: 3.00473,
Time: 1.746, Angular acceleration X: -1.56792, Angular acceleration y: 3.13872,
Time: 1.816, Angular acceleration X: -1.60257, Angular acceleration y: -3.10982,
Time: 1.891, Angular acceleration X: -1.58312, Angular acceleration y: -3.12927,
Time: 1.961, Angular acceleration X: -1.55822, Angular acceleration y: 3.12901,
Time: 2.031, Angular acceleration X: -1.50671, Angular acceleration y: 3.07751,
Time: 2.1, Angular acceleration X: -1.61554, Angular acceleration y: -3.09685,
Time: 2.17, Angular acceleration X: -1.63984, Angular acceleration y: -3.07255,
Time: 2.24, Angular acceleration X: -1.65394, Angular acceleration y: -3.05845,
Time: 2.307, Angular acceleration X: -1.66442, Angular acceleration y: -3.04797,
Time: 2.377, Angular acceleration X: -1.66322, Angular acceleration y: -3.04917,
Time: 2.447, Angular acceleration X: -1.66174, Angular acceleration y: -3.05065,
Time: 2.517, Angular acceleration X: -1.67734, Angular acceleration y: -3.03505,
Time: 2.586, Angular acceleration X: -1.64806, Angular acceleration y: -3.06433,
Time: 2.656, Angular acceleration X: -1.53825, Angular acceleration y: 3.10905,
Time: 2.728, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 2.8, Angular acceleration X: -1.57602, Angular acceleration y: -3.13637,
Time: 2.871, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 2.941, Angular acceleration X: -1.54598, Angular acceleration y: 3.11677,
Time: 3.009, Angular acceleration X: -1.49985, Angular acceleration y: 3.07065,
Time: 3.078, Angular acceleration X: -1.74456, Angular acceleration y: -2.96783,
Time: 3.147, Angular acceleration X: -1.64007, Angular acceleration y: -3.07232,
Time: 3.217, Angular acceleration X: -1.67242, Angular acceleration y: -3.03997,
Time: 3.287, Angular acceleration X: -1.64912, Angular acceleration y: -3.06326,
Time: 3.357, Angular acceleration X: -1.66202, Angular acceleration y: -3.05036,
Time: 3.426, Angular acceleration X: -1.6644, Angular acceleration y: -3.04799,
Time: 3.496, Angular acceleration X: -1.65712, Angular acceleration y: -3.05527,
Time: 3.566, Angular acceleration X: -1.53428, Angular acceleration y: 3.10508,
Time: 3.634, Angular acceleration X: -1.5546, Angular acceleration y: 3.1254,
Time: 3.704, Angular acceleration X: -1.55385, Angular acceleration y: 3.12465,
Time: 3.779, Angular acceleration X: -1.56106, Angular acceleration y: 3.13185,
Time: 3.849, Angular acceleration X: -1.553, Angular acceleration y: 3.1238,
Time: 3.915, Angular acceleration X: -1.53815, Angular acceleration y: 3.10895,
Time: 3.985, Angular acceleration X: -1.51679, Angular acceleration y: 3.08759,
Time: 4.055, Angular acceleration X: -1.66224, Angular acceleration y: -3.05015,
Time: 4.124, Angular acceleration X: -1.65201, Angular acceleration y: -3.06038,
Time: 4.194, Angular acceleration X: -1.65753, Angular acceleration y: -3.05485,
Time: 4.264, Angular acceleration X: -1.65785, Angular acceleration y: -3.05454,
Time: 4.334, Angular acceleration X: -1.65937, Angular acceleration y: -3.05302,
Time: 4.403, Angular acceleration X: -1.65216, Angular acceleration y: -3.06023,
Time: 4.47, Angular acceleration X: -1.62726, Angular acceleration y: -3.08513,
Time: 4.54, Angular acceleration X: -1.5584, Angular acceleration y: 3.1292,
Time: 4.609, Angular acceleration X: -1.55499, Angular acceleration y: 3.12578,
