Time: 0.0, Angular acceleration X: 0.00390623, Angular acceleration y: 1.56689,
Time: 0.073, Angular acceleration X: 0.0194528, Angular acceleration y: 1.55134,
Time: 0.144, Angular acceleration X: -0.0108691, Angular acceleration y: 1.58167,
Time: 0.214, Angular acceleration X: 0.023805, Angular acceleration y: 1.54699,
Time: 0.284, Angular acceleration X: 0.00732588, Angular acceleration y: 1.56347,
Time: 0.354, Angular acceleration X: 0.0277706, Angular acceleration y: 1.54303,
Time: 0.423, Angular acceleration X: 0.0161929, Angular acceleration y: 1.5546,
Time: 0.493, Angular acceleration X: 0.0132736, Angular acceleration y: 1.55752,
Time: 0.563, Angular acceleration X: -0.755104, Angular acceleration y: 2.3259,
Time: 0.629, Angular acceleration X: -1.71414, Angular acceleration y: -2.99825,
Time: 0.699, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 0.768, Angular acceleration X: -1.58277, Angular acceleration y: -3.12962,
Time: 0.835, Angular acceleration X: -1.60412, Angular acceleration y: -3.10827,
Time: 0.905, Angular acceleration X: -1.56295, Angular acceleration y: 3.13375,
Time: 0.972, Angular acceleration X: -1.55511, Angular acceleration y: 3.12591,
Time: 1.044, Angular acceleration X: -1.49686, Angular acceleration y: 3.06765,
Time: 1.113, Angular acceleration X: -1.30454, Angular acceleration y: 2.87534,
Time: 1.184, Angular acceleration X: -0.896055, Angular acceleration y: 2.46685,
Time: 1.254, Angular acceleration X: -1.38892, Angular acceleration y: 2.95972,
Time: 1.328, Angular acceleration X: -1.54763, Angular acceleration y: 3.11843,
Time: 1.399, Angular acceleration X: -1.59324, Angular acceleration y: -3.11915,
Time: 1.469, Angular acceleration X: -1.62564, Angular acceleration y: -3.08675,
Time: 1.536, Angular acceleration X: -1.64517, Angular acceleration y: -3.06722,
Time: 1.606, Angular acceleration X: -1.63668, Angular acceleration y: -3.07571,
Time: 1.674, Angular acceleration X: -1.67123, Angular acceleration y: -3.04116,
Time: 1.745, Angular acceleration X: -1.72579, Angular acceleration y: -2.9866,
Time: 1.815, Angular acceleration X: -1.83705, Angular acceleration y: -2.87534,
Time: 1.884, Angular acceleration X: -1.65679, Angular acceleration y: -3.0556,
Time: 1.954, Angular acceleration X: -1.58938, Angular acceleration y: -3.12301,
Time: 2.027, Angular acceleration X: -1.58262, Angular acceleration y: -3.12977,
Time: 2.096, Angular acceleration X: -1.57864, Angular acceleration y: -3.13375,
Time: 2.168, Angular acceleration X: -1.56099, Angular acceleration y: 3.13179,
Time: 2.236, Angular acceleration X: -1.54057, Angular acceleration y: 3.11137,
Time: 2.307, Angular acceleration X: -1.47862, Angular acceleration y: 3.04942,
Time: 2.373, Angular acceleration X: -1.3648, Angular acceleration y: 2.9356,
Time: 2.442, Angular acceleration X: -1.28854, Angular acceleration y: 2.85933,
Time: 2.509, Angular acceleration X: -1.46688, Angular acceleration y: 3.03767,
Time: 2.579, Angular acceleration X: -1.56355, Angular acceleration y: 3.13435,
Time: 2.648, Angular acceleration X: -1.59551, Angular acceleration y: -3.11688,
Time: 2.716, Angular acceleration X: -1.61782, Angular acceleration y: -3.09457,
Time: 2.785, Angular acceleration X: -1.62136, Angular acceleration y: -3.09103,
Time: 2.854, Angular acceleration X: -1.6321, Angular acceleration y: -3.08029,
Time: 2.923, Angular acceleration X: -1.65985, Angular acceleration y: -3.05254,
Time: 2.999, Angular acceleration X: -1.67985, Angular acceleration y: -3.03254,
Time: 3.069, Angular acceleration X: -1.38545, Angular acceleration y: 2.95624,
Time: 3.138, Angular acceleration X: -1.61448, Angular acceleration y: -3.0979,
Time: 3.208, Angular acceleration X: -1.5802, Angular acceleration y: -3.13219,
Time: 3.278, Angular acceleration X: -1.57315, Angular acceleration y: -3.13924,
Time: 3.351, Angular acceleration X: -1.57284, Angular acceleration y: -3.13955,
Time: 3.423, Angular acceleration X: -1.54722, Angular acceleration y: 3.11801,
Time: 3.493, Angular acceleration X: -1.51772, Angular acceleration y: 3.08852,
Time: 3.562, Angular acceleration X: -1.4458, Angular acceleration y: 3.01659,
Time: 3.632, Angular acceleration X: -1.39772, Angular acceleration y: 2.96852,
Time: 3.699, Angular acceleration X: -1.4493, Angular acceleration y: 3.0201,
Time: 3.768, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 3.836, Angular acceleration X: -1.59236, Angular acceleration y: -3.12003,
Time: 3.906, Angular acceleration X: -1.60275, Angular acceleration y: -3.10964,
Time: 3.975, Angular acceleration X: -1.61915, Angular acceleration y: -3.09324,
Time: 4.051, Angular acceleration X: -1.63067, Angular acceleration y: -3.08172,
Time: 4.118, Angular acceleration X: -1.63219, Angular acceleration y: -3.08019,
Time: 4.188, Angular acceleration X: -1.6563, Angular acceleration y: -3.05609,
Time: 4.255, Angular acceleration X: -1.50799, Angular acceleration y: 3.07878,
Time: 4.324, Angular acceleration X: -1.58095, Angular acceleration y: -3.13144,
Time: 4.394, Angular acceleration X: -1.57751, Angular acceleration y: -3.13488,
Time: 4.464, Angular acceleration X: -1.56814, Angular acceleration y: 3.13894,
Time: 4.534, Angular acceleration X: -1.56364, Angular acceleration y: 3.13443,
Time: 4.601, Angular acceleration X: -1.5529, Angular acceleration y: 3.12369,
Time: 4.671, Angular acceleration X: -1.51284, Angular acceleration y: 3.08364,
Time: 4.741, Angular acceleration X: -1.47648, Angular acceleration y: 3.04728,
Time: 4.811, Angular acceleration X: -1.41991, Angular acceleration y: 2.9907,
Time: 4.88, Angular acceleration X: -1.54503, Angular acceleration y: 3.11582,
Time: 4.948, Angular acceleration X: -1.56295, Angular acceleration y: 3.13375,
Time: 5.024, Angular acceleration X: -1.58303, Angular acceleration y: -3.12936,
Time: 5.094, Angular acceleration X: -1.60171, Angular acceleration y: -3.11067,
Time: 5.162, Angular acceleration X: -1.61244, Angular acceleration y: -3.09995,
Time: 5.232, Angular acceleration X: -1.62471, Angular acceleration y: -3.08768,
Time: 5.302, Angular acceleration X: -1.61459, Angular acceleration y: -3.0978,
Time: 5.371, Angular acceleration X: -1.64095, Angular acceleration y: -3.07144,
Time: 5.441, Angular acceleration X: -1.57635, Angular acceleration y: -3.13604,
Time: 5.511, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 5.58, Angular acceleration X: 2.93527, Angular acceleration y: -1.36447,
Time: 5.65, Angular acceleration X: -0.875203, Angular acceleration y: 2.446,
Time: 5.719, Angular acceleration X: -1.00935, Angular acceleration y: 2.58015,
Time: 5.789, Angular acceleration X: -1.04002, Angular acceleration y: 2.61082,
Time: 5.859, Angular acceleration X: -1.01965, Angular acceleration y: 2.59045,
Time: 5.928, Angular acceleration X: -1.22573, Angular acceleration y: 2.79653,
Time: 6.0, Angular acceleration X: -1.18319, Angular acceleration y: 2.75399,
Time: 6.069, Angular acceleration X: -0.98068, Angular acceleration y: 2.55148,
Time: 6.143, Angular acceleration X: -1.13246, Angular acceleration y: 2.70326,
Time: 6.213, Angular acceleration X: -1.00464, Angular acceleration y: 2.57544,
Time: 6.283, Angular acceleration X: -1.11079, Angular acceleration y: 2.68159,
Time: 6.352, Angular acceleration X: -1.03314, Angular acceleration y: 2.60394,
Time: 6.423, Angular acceleration X: -1.17846, Angular acceleration y: 2.74925,
Time: 6.492, Angular acceleration X: -1.10531, Angular acceleration y: 2.6761,
Time: 6.562, Angular acceleration X: -1.01664, Angular acceleration y: 2.58744,
Time: 6.632, Angular acceleration X: -1.06409, Angular acceleration y: 2.63488,
Time: 6.701, Angular acceleration X: -1.30163, Angular acceleration y: 2.87243,
Time: 6.768, Angular acceleration X: -1.0888, Angular acceleration y: 2.6596,
