Time: 0.0, Angular acceleration X: 0.00381678, Angular acceleration y: 1.56698,
Time: 0.074, Angular acceleration X: 0.0150932, Angular acceleration y: 1.5557,
Time: 0.145, Angular acceleration X: 0.0115379, Angular acceleration y: 1.55926,
Time: 0.214, Angular acceleration X: 0.0187244, Angular acceleration y: 1.55207,
Time: 0.281, Angular acceleration X: 0.0311184, Angular acceleration y: 1.53968,
Time: 0.351, Angular acceleration X: 0.0236177, Angular acceleration y: 1.54718,
Time: 0.417, Angular acceleration X: 0.0286807, Angular acceleration y: 1.54212,
Time: 0.486, Angular acceleration X: 0.0161276, Angular acceleration y: 1.55467,
Time: 0.555, Angular acceleration X: -1.24117, Angular acceleration y: 2.81197,
Time: 0.625, Angular acceleration X: -0.63924, Angular acceleration y: 2.21004,
Time: 0.695, Angular acceleration X: -1.49814, Angular acceleration y: 3.06894,
Time: 0.764, Angular acceleration X: -1.60803, Angular acceleration y: -3.10435,
Time: 0.833, Angular acceleration X: -1.70142, Angular acceleration y: -3.01097,
Time: 0.903, Angular acceleration X: -1.51399, Angular acceleration y: 3.08479,
Time: 0.972, Angular acceleration X: -1.54431, Angular acceleration y: 3.11511,
Time: 1.048, Angular acceleration X: -1.48765, Angular acceleration y: 3.05845,
Time: 1.118, Angular acceleration X: -1.5894, Angular acceleration y: -3.12299,
Time: 1.187, Angular acceleration X: -1.00693, Angular acceleration y: 2.57772,
Time: 1.257, Angular acceleration X: -1.02142, Angular acceleration y: 2.59222,
Time: 1.327, Angular acceleration X: -1.41995, Angular acceleration y: 2.99075,
Time: 1.397, Angular acceleration X: -1.49977, Angular acceleration y: 3.07057,
Time: 1.466, Angular acceleration X: -1.5708, Angular acceleration y: 3.14159,
Time: 1.536, Angular acceleration X: -1.59236, Angular acceleration y: -3.12003,
Time: 1.606, Angular acceleration X: -1.58256, Angular acceleration y: -3.12983,
Time: 1.675, Angular acceleration X: -1.62369, Angular acceleration y: -3.0887,
Time: 1.745, Angular acceleration X: -1.63449, Angular acceleration y: -3.0779,
Time: 1.812, Angular acceleration X: -1.66402, Angular acceleration y: -3.04837,
Time: 1.88, Angular acceleration X: -1.72413, Angular acceleration y: -2.98826,
Time: 1.95, Angular acceleration X: -1.80189, Angular acceleration y: -2.9105,
Time: 2.022, Angular acceleration X: -1.57927, Angular acceleration y: -3.13312,
Time: 2.092, Angular acceleration X: -1.61391, Angular acceleration y: -3.09848,
Time: 2.163, Angular acceleration X: -1.46144, Angular acceleration y: 3.03224,
Time: 2.232, Angular acceleration X: -1.58648, Angular acceleration y: -3.12591,
Time: 2.302, Angular acceleration X: -1.54923, Angular acceleration y: 3.12003,
Time: 2.372, Angular acceleration X: -1.54335, Angular acceleration y: 3.11415,
Time: 2.441, Angular acceleration X: -1.52995, Angular acceleration y: 3.10075,
Time: 2.511, Angular acceleration X: -1.46839, Angular acceleration y: 3.03918,
Time: 2.581, Angular acceleration X: -1.39208, Angular acceleration y: 2.96287,
Time: 2.651, Angular acceleration X: -1.26203, Angular acceleration y: 2.83283,
Time: 2.72, Angular acceleration X: -1.75314, Angular acceleration y: -2.95924,
Time: 2.79, Angular acceleration X: -1.5439, Angular acceleration y: 3.11469,
Time: 2.86, Angular acceleration X: -1.54464, Angular acceleration y: 3.11544,
Time: 2.929, Angular acceleration X: -1.5833, Angular acceleration y: -3.12909,
Time: 2.998, Angular acceleration X: -1.59236, Angular acceleration y: -3.12003,
Time: 3.074, Angular acceleration X: -1.60885, Angular acceleration y: -3.10353,
Time: 3.144, Angular acceleration X: -1.61435, Angular acceleration y: -3.09804,
Time: 3.213, Angular acceleration X: -1.64757, Angular acceleration y: -3.06482,
Time: 3.283, Angular acceleration X: -1.63393, Angular acceleration y: -3.07846,
Time: 3.35, Angular acceleration X: -1.6723, Angular acceleration y: -3.04009,
Time: 3.42, Angular acceleration X: -0.146012, Angular acceleration y: 1.71681,
Time: 3.489, Angular acceleration X: -0.701154, Angular acceleration y: 2.27195,
Time: 3.559, Angular acceleration X: -0.397975, Angular acceleration y: 1.96877,
Time: 3.629, Angular acceleration X: -0.389097, Angular acceleration y: 1.95989,
Time: 3.695, Angular acceleration X: -0.371287, Angular acceleration y: 1.94208,
Time: 3.765, Angular acceleration X: -0.36199, Angular acceleration y: 1.93279,
Time: 3.832, Angular acceleration X: -0.27234, Angular acceleration y: 1.84314,
Time: 3.903, Angular acceleration X: -0.341213, Angular acceleration y: 1.91201,
Time: 3.972, Angular acceleration X: -0.40323, Angular acceleration y: 1.97403,
Time: 4.046, Angular acceleration X: -0.42545, Angular acceleration y: 1.99625,
